Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1,Rookie_Year,Fetch_Date
4,Koby Brea,"Nov 2, '25, PHO vs. SAS",23,1,2,8,1,3,0,2,2,2,0,1,2,0,0,0,0,4,0.333,0.0,1.0,4.0,2.0,0.5,1.0,0.0,0.0,2026,2026-01-21
5,Johni Broome,"Nov 2, '25, PHI @ BRK",23,1,7,40,4,20,0,3,2,4,6,13,4,2,0,2,5,10,0.2,0.0,0.5,5.7,1.4,1.9,0.6,0.3,0.0,2026,2026-01-21
6,Carter Bryant,"Oct 22, '25, SAS @ DAL",20,1,34,274,29,87,11,45,10,12,13,56,6,6,4,12,26,79,0.333,0.244,0.833,8.1,2.3,1.6,0.2,0.2,0.1,2026,2026-01-21
7,Dylan Cardwell,"Oct 22, '25, SAC @ PHO",24,1,17,316,34,64,0,1,14,26,47,116,16,12,25,12,65,82,0.531,0.0,0.538,18.6,4.8,6.8,0.9,0.7,1.5,2026,2026-01-21
8,Moussa Cisse,"Oct 22, '25, DAL vs. SAS",23,1,25,296,39,59,0,0,22,48,48,117,6,9,30,21,45,100,0.661,,0.458,11.8,4.0,4.7,0.2,0.4,1.2,2026,2026-01-21
9,Walter Clayton,"Oct 22, '25, UTA vs. LAC",22,1,39,715,93,228,40,128,55,58,13,81,133,22,8,47,71,281,0.408,0.313,0.948,18.3,7.2,2.1,3.4,0.6,0.2,2026,2026-01-21
10,Nique Clifford,"Oct 22, '25, SAC @ PHO",23,1,40,744,81,202,28,91,23,34,27,114,51,23,11,44,77,213,0.401,0.308,0.676,18.6,5.3,2.9,1.3,0.6,0.3,2026,2026-01-21
11,Javonte Cooke,"Nov 19, '25, POR vs. CHI",26,1,8,52,5,21,2,11,0,0,1,8,7,4,0,5,1,12,0.238,0.182,,6.5,1.5,1.0,0.9,0.5,0.0,2026,2026-01-21
12,Cedric Coward,"Oct 22, '25, MEM vs. NOP",22,1,38,1011,191,403,58,172,91,107,57,247,110,20,13,64,78,531,0.474,0.337,0.85,26.6,14.0,6.5,2.9,0.5,0.3,2026,2026-01-21
13,LJ Cryer,"Jan 19, '26, GSW vs. MIA",24,1,2,5,1,3,1,2,0,0,0,0,0,0,0,0,1,3,0.333,0.5,,2.5,1.5,0.0,0.0,0.0,0.0,2026,2026-01-21
14,Mohamed Diawara,"Oct 28, '25, NYK @ MIL",20,1,35,176,24,61,13,35,1,4,7,34,16,8,4,10,17,62,0.393,0.371,0.25,5.0,1.8,1.0,0.5,0.2,0.1,2026,2026-01-21
15,Hunter Dickinson,"Oct 22, '25, NOP @ MEM",25,1,1,5,1,2,0,0,0,0,0,0,0,0,1,2,2,2,0.5,,,5.0,2.0,0.0,0.0,0.0,1.0,2026,2026-01-21
16,Egor DÑmin,"Oct 22, '25, BRK @ CHO",19,1,36,888,128,316,88,221,31,37,17,109,123,32,12,62,65,375,0.405,0.398,0.838,24.7,10.4,3.0,3.4,0.9,0.3,2026,2026-01-21
