,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
84,Jamal Shead,"Oct 23, '24, TOR vs. CLE",22,2,116,2338,301,766,119,369,100,130,44,186,539,98,16,170,245,821,0.393,0.322,0.769,20.2,7.1,1.6,4.6,0.8,0.1
85,Reed Sheppard,"Oct 23, '24, HOU vs. CHO",20,2,89,1595,260,635,140,370,47,60,29,176,195,88,38,81,133,707,0.409,0.378,0.783,17.9,7.9,2,2.2,1,0.4
86,KJ Simpson,"Nov 4, '24, CHO @ MIN",22,2,50,1065,135,390,45,169,51,66,44,138,147,49,6,80,70,366,0.346,0.266,0.773,21.3,7.3,2.8,2.9,1,0.1
87,Jaylen Sims,"Apr 4, '25, CHO vs. SAC",26,1,6,112,12,28,6,15,12,15,3,6,12,3,1,8,10,42,0.429,0.4,0.8,18.7,7,1,2,0.5,0.2
88,Tolu Smith,"Apr 13, '25, DET @ MIL",24,2,6,77,13,24,0,0,14,18,14,36,4,2,5,6,10,40,0.542,,0.778,12.8,6.7,6,0.7,0.3,0.8
89,Tyler Smith,"Oct 23, '24, MIL @ PHI",20,1,23,122,24,50,13,30,6,8,6,25,4,3,4,8,11,67,0.48,0.433,0.75,5.3,2.9,1.1,0.2,0.1,0.2
90,Cam Spencer,"Nov 20, '24, MEM vs. PHI",24,2,63,1159,182,391,108,243,89,95,27,130,237,38,3,62,85,561,0.465,0.444,0.937,18.4,8.9,2.1,3.8,0.6,0
91,Isaiah Stevens,"Mar 29, '25, MIA @ PHI",24,1,3,6,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,,2,0,0.7,0,0.3,0
92,Drew Timme,"Mar 28, '25, BRK vs. LAC",24,2,14,270,47,106,9,37,10,16,18,69,23,5,1,16,21,113,0.443,0.243,0.625,19.3,8.1,4.9,1.6,0.4,0.1
93,Nae'Qwan Tomlin,"Feb 20, '25, CLE @ BRK",24,2,35,523,87,185,16,65,35,49,47,108,24,21,23,13,64,225,0.47,0.246,0.714,14.9,6.4,3.1,0.7,0.6,0.7
94,Armel Traoré,"Nov 16, '24, LAL @ NOP",22,1,9,67,6,19,0,7,2,7,2,15,1,4,2,3,6,14,0.316,0,0.286,7.4,1.6,1.7,0.1,0.4,0.2
95,Luke Travers,"Nov 1, '24, CLE vs. ORL",23,2,24,191,14,56,1,25,11,11,17,44,17,8,5,11,12,40,0.25,0.04,1,8,1.7,1.8,0.7,0.3,0.2
96,Jaylon Tyson,"Oct 23, '24, CLE @ TOR",22,2,83,1425,242,495,87,207,56,74,106,287,114,50,22,72,159,627,0.489,0.42,0.757,17.2,7.6,3.5,1.4,0.6,0.3
97,Keaton Wallace,"Oct 27, '24, ATL @ OKC",25,2,66,928,119,289,60,162,16,21,9,94,158,48,13,55,75,314,0.412,0.37,0.762,14.1,4.8,1.4,2.4,0.7,0.2
98,Ja'Kobe Walter,"Nov 1, '24, TOR vs. LAL",20,2,89,1757,237,574,109,306,93,119,85,238,113,75,16,69,167,676,0.413,0.356,0.782,19.7,7.6,2.7,1.3,0.8,0.2
99,Kel'el Ware,"Oct 23, '24, MIA vs. ORL",20,2,104,2402,444,805,83,224,99,132,246,875,82,75,118,97,179,1070,0.552,0.371,0.75,23.1,10.3,8.4,0.8,0.7,1.1
100,Anton Watson,"Mar 10, '25, NYK @ SAC",24,1,9,22,4,9,0,1,0,0,1,3,2,1,0,2,3,8,0.444,0,,2.4,0.9,0.3,0.2,0.1,0
,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
101,Jaylen Wells,"Oct 23, '24, MEM @ UTA",21,2,118,3115,448,1073,205,598,191,238,123,406,206,79,11,113,228,1292,0.418,0.343,0.803,26.4,10.9,3.4,1.7,0.7,0.1
102,Phillip Wheeler,"Mar 26, '25, PHI vs. WAS",22,1,5,44,3,21,0,10,2,2,2,8,2,1,2,1,1,8,0.143,0,1,8.8,1.6,1.6,0.4,0.2,0.4
103,Cody Williams,"Oct 23, '24, UTA vs. MEM",20,2,76,1452,134,374,44,182,40,57,42,153,78,31,22,53,134,352,0.358,0.242,0.702,19.1,4.6,2,1,0.4,0.3
104,Jahmir Young,"Mar 4, '25, CHI vs. CLE",24,2,11,54,8,16,3,7,2,2,1,5,10,1,0,3,5,21,0.5,0.429,1,4.9,1.9,0.5,0.9,0.1,0
